lemma	sentence1	sentence2	label	answer	prompt
lénks	bass du haut mam lénkse Fouss opgestanen? 	ier een iwwer d'Strooss geet, kuckt ee fir d'éischt no lénks an dann no riets 	different	falsch	"Ass d'Bedeitung vun 'lénks' an deenen zwee Sätz identesch? saz1: ""bass du haut mam lénkse Fouss opgestanen? "" saz2: ""ier een iwwer d'Strooss geet, kuckt ee fir d'éischt no lénks an dann no riets """
portraitéieren	an deem Film gëtt mäi Liblingssänger gutt portraitéiert 	Madamm, däerf ech Iech portraitéieren ? 	different	falsch	"Ass d'Bedeitung vun 'portraitéieren' an deenen zwee Sätz identesch? saz1: ""an deem Film gëtt mäi Liblingssänger gutt portraitéiert "" saz2: ""Madamm, däerf ech Iech portraitéieren ? """
reng	rengen Alkohol kriss de just an der Apdikt 	datt et op eiser Hochzäit net gereent huet, war e renge Glécksfall 	different	falsch	"Ass d'Bedeitung vun 'reng' an deenen zwee Sätz identesch? saz1: ""rengen Alkohol kriss de just an der Apdikt "" saz2: ""datt et op eiser Hochzäit net gereent huet, war e renge Glécksfall """
Schikan	d'Aarbechter leiden ënner de Schikane vum Viraarbechter 	dës Prozedur ass eng administrativ Schikan ! 	identical	richteg	"Ass d'Bedeitung vun 'Schikan' an deenen zwee Sätz identesch? saz1: ""d'Aarbechter leiden ënner de Schikane vum Viraarbechter "" saz2: ""dës Prozedur ass eng administrativ Schikan ! """
hannerrécks	als Kanner ware mir versiess drop, witzeg Filmzeenen hannerrécks ze kucken 	de Schoulmeeschter huet d'Kanner gedoen, vun honnert un hannerrécks ze zielen 	identical	richteg	"Ass d'Bedeitung vun 'hannerrécks' an deenen zwee Sätz identesch? saz1: ""als Kanner ware mir versiess drop, witzeg Filmzeenen hannerrécks ze kucken "" saz2: ""de Schoulmeeschter huet d'Kanner gedoen, vun honnert un hannerrécks ze zielen """
Reitschoul	an eiser Reitschoul léieren d'Kanner net just reiden, mee och den Ëmgang mam Päerd 	du kanns bei der Reitschoul parken an direkt vis-à-vis ass de Bësch 	different	falsch	"Ass d'Bedeitung vun 'Reitschoul' an deenen zwee Sätz identesch? saz1: ""an eiser Reitschoul léieren d'Kanner net just reiden, mee och den Ëmgang mam Päerd "" saz2: ""du kanns bei der Reitschoul parken an direkt vis-à-vis ass de Bësch """
Espace	virun an hanner engem Gedankestréch léisst een ëmmer en Espace 	hanner dem Komma feelt en Espace 	identical	richteg	"Ass d'Bedeitung vun 'Espace' an deenen zwee Sätz identesch? saz1: ""virun an hanner engem Gedankestréch léisst een ëmmer en Espace "" saz2: ""hanner dem Komma feelt en Espace """
Vandal	d'Vandale si queesch duerch Europa bis a Spuenie gezunn 	an der Nuecht hu Vandalen am Park Bänke futti geschloen 	different	falsch	"Ass d'Bedeitung vun 'Vandal' an deenen zwee Sätz identesch? saz1: ""d'Vandale si queesch duerch Europa bis a Spuenie gezunn "" saz2: ""an der Nuecht hu Vandalen am Park Bänke futti geschloen """
virbereeden	de Professer bereet d'Schüler gutt op den Exame vir 	ech menge ganz, eise Proff hat säi Cours haut net virbereet 	different	falsch	"Ass d'Bedeitung vun 'virbereeden' an deenen zwee Sätz identesch? saz1: ""de Professer bereet d'Schüler gutt op den Exame vir "" saz2: ""ech menge ganz, eise Proff hat säi Cours haut net virbereet """
Pak	Pak zerschléit sech, Pak verdréit sech! 	hal dech dach net mat deem Pak op! 	identical	richteg	"Ass d'Bedeitung vun 'Pak' an deenen zwee Sätz identesch? saz1: ""Pak zerschléit sech, Pak verdréit sech! "" saz2: ""hal dech dach net mat deem Pak op! """
Kaffi	maach mer just e klenge Läffel Kaffi an d'Taass 	wa mer gutt Kaffi drénken, da brauche mer de Mëtteg net vill 	different	falsch	"Ass d'Bedeitung vun 'Kaffi' an deenen zwee Sätz identesch? saz1: ""maach mer just e klenge Läffel Kaffi an d'Taass "" saz2: ""wa mer gutt Kaffi drénken, da brauche mer de Mëtteg net vill """
Mëssel	bei der Opstellung vun der Facture ass e Mëssel geschitt 	tréischt dech, dat do ass nëmmen e klenge Mëssel ! 	different	falsch	"Ass d'Bedeitung vun 'Mëssel' an deenen zwee Sätz identesch? saz1: ""bei der Opstellung vun der Facture ass e Mëssel geschitt "" saz2: ""tréischt dech, dat do ass nëmmen e klenge Mëssel ! """
Fassung	dësen Diamant huet eng schéi Fassung 	vun dësem Lidd gëtt et zwou Fassungen 	different	falsch	"Ass d'Bedeitung vun 'Fassung' an deenen zwee Sätz identesch? saz1: ""dësen Diamant huet eng schéi Fassung "" saz2: ""vun dësem Lidd gëtt et zwou Fassungen """
Kontroll	an der Kéier huet de Chauffer d'Kontroll iwwer säin Auto verluer 	hien huet sech dacks net méi ënner Kontroll 	identical	richteg	"Ass d'Bedeitung vun 'Kontroll' an deenen zwee Sätz identesch? saz1: ""an der Kéier huet de Chauffer d'Kontroll iwwer säin Auto verluer "" saz2: ""hien huet sech dacks net méi ënner Kontroll """
Casier	dee Mann huet e gutt gefëlltene Casier 	mäi Casier ass nach vierge 	identical	richteg	"Ass d'Bedeitung vun 'Casier' an deenen zwee Sätz identesch? saz1: ""dee Mann huet e gutt gefëlltene Casier "" saz2: ""mäi Casier ass nach vierge """
Originn	kenns du d'Originn vun dësem Ausdrock? 	d'Originn vum Problem ass net liicht ze erkennen 	identical	richteg	"Ass d'Bedeitung vun 'Originn' an deenen zwee Sätz identesch? saz1: ""kenns du d'Originn vun dësem Ausdrock? "" saz2: ""d'Originn vum Problem ass net liicht ze erkennen """
afalen	mir fält am Ament kee bessert Wuert an 	et ass mir elo grad agefall , datt ech nach muss akafe goen 	identical	richteg	"Ass d'Bedeitung vun 'afalen' an deenen zwee Sätz identesch? saz1: ""mir fält am Ament kee bessert Wuert an "" saz2: ""et ass mir elo grad agefall , datt ech nach muss akafe goen """
Aarm	en Oktopus erkennt een u sengen aacht Äerm 	de Floss spléckt sech an zwee Äerm 	different	falsch	"Ass d'Bedeitung vun 'Aarm' an deenen zwee Sätz identesch? saz1: ""en Oktopus erkennt een u sengen aacht Äerm "" saz2: ""de Floss spléckt sech an zwee Äerm """
hiert	hiert Liewe war eng eenzeg Plo 	gëff Uecht, dat ass net däi Glas, mee hiert ! 	identical	richteg	"Ass d'Bedeitung vun 'hiert' an deenen zwee Sätz identesch? saz1: ""hiert Liewe war eng eenzeg Plo "" saz2: ""gëff Uecht, dat ass net däi Glas, mee hiert ! """
fir	de Rapport muss fir en Dënschdeg fäerdeg sinn 	ass et nach fir haut? 	identical	richteg	"Ass d'Bedeitung vun 'fir' an deenen zwee Sätz identesch? saz1: ""de Rapport muss fir en Dënschdeg fäerdeg sinn "" saz2: ""ass et nach fir haut? """
Leescht	de Papp an de Jong sinn iwwer ee Leescht gezu ginn 	ech hunn eng Péng an der lénkser Leescht , se ass bal net auszehalen 	different	falsch	"Ass d'Bedeitung vun 'Leescht' an deenen zwee Sätz identesch? saz1: ""de Papp an de Jong sinn iwwer ee Leescht gezu ginn "" saz2: ""ech hunn eng Péng an der lénkser Leescht , se ass bal net auszehalen """
zeechnen	d'Afaart vum Parking ass gezeechent 	déi Deviatioun misst besser gezeechent ginn ! 	identical	richteg	"Ass d'Bedeitung vun 'zeechnen' an deenen zwee Sätz identesch? saz1: ""d'Afaart vum Parking ass gezeechent "" saz2: ""déi Deviatioun misst besser gezeechent ginn ! """
Bord	d'Schëff huet ofgeluecht, esoubal d'Leit all u Bord waren 	si wunnen um Bord vun der Stad 	different	falsch	"Ass d'Bedeitung vun 'Bord' an deenen zwee Sätz identesch? saz1: ""d'Schëff huet ofgeluecht, esoubal d'Leit all u Bord waren "" saz2: ""si wunnen um Bord vun der Stad """
Geschmaach	ech hunn e fade Geschmaach am Mond 	wouhier kënnt dee battere Geschmaach an denger Zooss? 	identical	richteg	"Ass d'Bedeitung vun 'Geschmaach' an deenen zwee Sätz identesch? saz1: ""ech hunn e fade Geschmaach am Mond "" saz2: ""wouhier kënnt dee battere Geschmaach an denger Zooss? """
sonndes	d'Kand huet de Bréif un de Kleesche mat senger sonndesser Schrëft geschriwwen 	wa mir Hellegerowend an d'Mette gaange sinn, hu mer eist sonndest Gezei ugedoen 	identical	richteg	"Ass d'Bedeitung vun 'sonndes' an deenen zwee Sätz identesch? saz1: ""d'Kand huet de Bréif un de Kleesche mat senger sonndesser Schrëft geschriwwen "" saz2: ""wa mir Hellegerowend an d'Mette gaange sinn, hu mer eist sonndest Gezei ugedoen """
falen	et sinn e puer domm Bemierkunge gefall 	et ass e Schoss gefall 	identical	richteg	"Ass d'Bedeitung vun 'falen' an deenen zwee Sätz identesch? saz1: ""et sinn e puer domm Bemierkunge gefall "" saz2: ""et ass e Schoss gefall """
Zylinder	den Zauberer huet eng Kanéngchen aus dem Zylinder gezunn 	der Braut hire Papp koum am groe Frack an am Zylinder 	identical	richteg	"Ass d'Bedeitung vun 'Zylinder' an deenen zwee Sätz identesch? saz1: ""den Zauberer huet eng Kanéngchen aus dem Zylinder gezunn "" saz2: ""der Braut hire Papp koum am groe Frack an am Zylinder """
Tram	de Mann konnt nach am leschte Moment op den Tram opsprangen 	wéi laang dauert et, bis den nächsten Tram kënnt? 	identical	richteg	"Ass d'Bedeitung vun 'Tram' an deenen zwee Sätz identesch? saz1: ""de Mann konnt nach am leschte Moment op den Tram opsprangen "" saz2: ""wéi laang dauert et, bis den nächsten Tram kënnt? """
Expeditioun	esoubal d'Wuer kontrolléiert ass, gëtt se fir d'Expeditioun agepaakt 	d'Virbereedunge fir d'Expeditioun hu méintlaang gedauert 	different	falsch	"Ass d'Bedeitung vun 'Expeditioun' an deenen zwee Sätz identesch? saz1: ""esoubal d'Wuer kontrolléiert ass, gëtt se fir d'Expeditioun agepaakt "" saz2: ""d'Virbereedunge fir d'Expeditioun hu méintlaang gedauert """
wierken	meng Bomi wierkt jonk fir hiren Alter 	eise Chef wierkt op mech ëmmer e bëssen arrogant 	identical	richteg	"Ass d'Bedeitung vun 'wierken' an deenen zwee Sätz identesch? saz1: ""meng Bomi wierkt jonk fir hiren Alter "" saz2: ""eise Chef wierkt op mech ëmmer e bëssen arrogant """
Karosserie	ruff am Garage un a looss dech direkt mat der Karosserie verbannen 	an der Karosserie gëtt nächste Mount eng Carrossière oder e Carrossier engagéiert 	identical	richteg	"Ass d'Bedeitung vun 'Karosserie' an deenen zwee Sätz identesch? saz1: ""ruff am Garage un a looss dech direkt mat der Karosserie verbannen "" saz2: ""an der Karosserie gëtt nächste Mount eng Carrossière oder e Carrossier engagéiert """
Geschäftsmann	eise Patron ass e gewëtzte Geschäftsmann 	säi Papp war Geschäftsmann an der Groussgaass 	different	falsch	"Ass d'Bedeitung vun 'Geschäftsmann' an deenen zwee Sätz identesch? saz1: ""eise Patron ass e gewëtzte Geschäftsmann "" saz2: ""säi Papp war Geschäftsmann an der Groussgaass """
spannen	d'Kaz läit hannerem Uewen ze spannen 	ech mengen, du spënns ! 	different	falsch	"Ass d'Bedeitung vun 'spannen' an deenen zwee Sätz identesch? saz1: ""d'Kaz läit hannerem Uewen ze spannen "" saz2: ""ech mengen, du spënns ! """
esou	mäi Schwoer kann esou richteg bësseg ginn 	déi Konferenz huet mech net esou ganz iwwerzeegt 	identical	richteg	"Ass d'Bedeitung vun 'esou' an deenen zwee Sätz identesch? saz1: ""mäi Schwoer kann esou richteg bësseg ginn "" saz2: ""déi Konferenz huet mech net esou ganz iwwerzeegt """
ophuelen	fir eisen neien Auto ze kafen, hu mer missen e Prêt ophuelen 	si hunn hien opgeholl , wéi wann et hiren eegene Jong wier 	different	falsch	"Ass d'Bedeitung vun 'ophuelen' an deenen zwee Sätz identesch? saz1: ""fir eisen neien Auto ze kafen, hu mer missen e Prêt ophuelen "" saz2: ""si hunn hien opgeholl , wéi wann et hiren eegene Jong wier """
éischt	ech gi just bis op den éischte Stack, wéinst menger braucht Der de Lift net ze ruffen 	lee d'Fleesch nach net op de Grill, d'Kuele musse fir d'éischt glousen! 	different	falsch	"Ass d'Bedeitung vun 'éischt' an deenen zwee Sätz identesch? saz1: ""ech gi just bis op den éischte Stack, wéinst menger braucht Der de Lift net ze ruffen "" saz2: ""lee d'Fleesch nach net op de Grill, d'Kuele musse fir d'éischt glousen! """
Skulptur	an der Entrée vum Theater stinn zwou Skulpturen a Maansgréisst 	dee jonke Mënsch interesséiert sech fir klassesch Musek, Molerei a Skulptur 	different	falsch	"Ass d'Bedeitung vun 'Skulptur' an deenen zwee Sätz identesch? saz1: ""an der Entrée vum Theater stinn zwou Skulpturen a Maansgréisst "" saz2: ""dee jonke Mënsch interesséiert sech fir klassesch Musek, Molerei a Skulptur """
är	dat sinn net meng Bicher, et sinn är ! 	ech këmmere mech ëm meng Saachen, këmmert dir iech ëm är ! 	different	falsch	"Ass d'Bedeitung vun 'är' an deenen zwee Sätz identesch? saz1: ""dat sinn net meng Bicher, et sinn är ! "" saz2: ""ech këmmere mech ëm meng Saachen, këmmert dir iech ëm är ! """
kontrolléieren	um Glatäis konnt ech mäin Auto net méi kontrolléieren a sinn an de Gruef gerëtscht 	all Muere ginn am Zuch d'Billjeeë kontrolléiert 	different	falsch	"Ass d'Bedeitung vun 'kontrolléieren' an deenen zwee Sätz identesch? saz1: ""um Glatäis konnt ech mäin Auto net méi kontrolléieren a sinn an de Gruef gerëtscht "" saz2: ""all Muere ginn am Zuch d'Billjeeë kontrolléiert """
Ufank	am Ufank vun dësem Spadséierwee geet et direkt géi biergop 	am Ufank (vun hirer Karriär) krut déi jonk Schauspillerin nëmme kleng Niewerollen 	different	falsch	"Ass d'Bedeitung vun 'Ufank' an deenen zwee Sätz identesch? saz1: ""am Ufank vun dësem Spadséierwee geet et direkt géi biergop "" saz2: ""am Ufank (vun hirer Karriär) krut déi jonk Schauspillerin nëmme kleng Niewerollen """
Monster	d'Kand huet e Monster mat dräi Käpp a feierrouden Ae gemoolt 	hiert Meedchen ass e Monster ! 	different	falsch	"Ass d'Bedeitung vun 'Monster' an deenen zwee Sätz identesch? saz1: ""d'Kand huet e Monster mat dräi Käpp a feierrouden Ae gemoolt "" saz2: ""hiert Meedchen ass e Monster ! """
ausnotzen	dee Patron notzt d'Stagiairen aus 	meng Guttheet ass ëmmer vu menge Klassekomeroden ausgenotzt ginn 	identical	richteg	"Ass d'Bedeitung vun 'ausnotzen' an deenen zwee Sätz identesch? saz1: ""dee Patron notzt d'Stagiairen aus "" saz2: ""meng Guttheet ass ëmmer vu menge Klassekomeroden ausgenotzt ginn """
gënschteg	dee Restaurant huet vill Clienten, well e gënschteg läit 	an deem Buttek hunn se all Woch extra gënschteg Promotiounen 	different	falsch	"Ass d'Bedeitung vun 'gënschteg' an deenen zwee Sätz identesch? saz1: ""dee Restaurant huet vill Clienten, well e gënschteg läit "" saz2: ""an deem Buttek hunn se all Woch extra gënschteg Promotiounen """
oplueden	d'Nopere lueden eis all Weekend hiren Hond op 	ech hunn d'Batterie eréischt opgelueden , elo ass se schonn nees platt! 	different	falsch	"Ass d'Bedeitung vun 'oplueden' an deenen zwee Sätz identesch? saz1: ""d'Nopere lueden eis all Weekend hiren Hond op "" saz2: ""ech hunn d'Batterie eréischt opgelueden , elo ass se schonn nees platt! """
dës Säit	déi Säit vum Zonk sti Karblummen, dës Säit sti keng 	dës Säit vum Floss schwätzen d'Leit eng aner Sprooch ewéi déi Säit 	identical	richteg	"Ass d'Bedeitung vun 'dës Säit' an deenen zwee Sätz identesch? saz1: ""déi Säit vum Zonk sti Karblummen, dës Säit sti keng "" saz2: ""dës Säit vum Floss schwätzen d'Leit eng aner Sprooch ewéi déi Säit """
Häppchen	beim Éierewäi goufen och e puer Häppercher zerwéiert 	ech iessen nach séier en Häppchen , ier mer ginn 	different	falsch	"Ass d'Bedeitung vun 'Häppchen' an deenen zwee Sätz identesch? saz1: ""beim Éierewäi goufen och e puer Häppercher zerwéiert "" saz2: ""ech iessen nach séier en Häppchen , ier mer ginn """
beherrschen	hien huet sech misse beherrschen , fir seng Roserei net ze weisen 	beherrsch dech an iess d'Kichelcher net all beieneen! 	identical	richteg	"Ass d'Bedeitung vun 'beherrschen' an deenen zwee Sätz identesch? saz1: ""hien huet sech misse beherrschen , fir seng Roserei net ze weisen "" saz2: ""beherrsch dech an iess d'Kichelcher net all beieneen! """
doten	dat doten ass eng ongeheierlech Frechheet! 	déi doten Affär fält ënner d'Zoustännegkeet vum Friddensgeriicht 	different	falsch	"Ass d'Bedeitung vun 'doten' an deenen zwee Sätz identesch? saz1: ""dat doten ass eng ongeheierlech Frechheet! "" saz2: ""déi doten Affär fält ënner d'Zoustännegkeet vum Friddensgeriicht """
Foss	pass op, wann s de op d'Foss fiers! 	an der Oper sëtzen d'Museker an enger Foss virun der Bün 	different	falsch	"Ass d'Bedeitung vun 'Foss' an deenen zwee Sätz identesch? saz1: ""pass op, wann s de op d'Foss fiers! "" saz2: ""an der Oper sëtzen d'Museker an enger Foss virun der Bün """
Wuert	trau him net, en huet kee Wuert 	d'Televisioun huet iwwerdroen, wéi déi kinneklech Koppel sech gëschter virum Bëschof d'Wuert ginn huet 	different	falsch	"Ass d'Bedeitung vun 'Wuert' an deenen zwee Sätz identesch? saz1: ""trau him net, en huet kee Wuert "" saz2: ""d'Televisioun huet iwwerdroen, wéi déi kinneklech Koppel sech gëschter virum Bëschof d'Wuert ginn huet """
Parad	duerch eng fantastesch Parad konnt de Golkipp verhënneren, datt de Ball an d'Netz gaangen ass 	bei der Parad sinn och Panzer matgefuer 	different	falsch	"Ass d'Bedeitung vun 'Parad' an deenen zwee Sätz identesch? saz1: ""duerch eng fantastesch Parad konnt de Golkipp verhënneren, datt de Ball an d'Netz gaangen ass "" saz2: ""bei der Parad sinn och Panzer matgefuer """
näischt	du hues haut nach näischt Frëndleches zu mir gesot! 	ënner deem Numm fannen ech näischt am Telefonsbuch 	identical	richteg	"Ass d'Bedeitung vun 'näischt' an deenen zwee Sätz identesch? saz1: ""du hues haut nach näischt Frëndleches zu mir gesot! "" saz2: ""ënner deem Numm fannen ech näischt am Telefonsbuch """
geléiert	hien dréckt sech ëmmer geléiert aus 	an deem Gremium sëtzen nëmme geléiert Leit 	identical	richteg	"Ass d'Bedeitung vun 'geléiert' an deenen zwee Sätz identesch? saz1: ""hien dréckt sech ëmmer geléiert aus "" saz2: ""an deem Gremium sëtzen nëmme geléiert Leit """
keimen	eise Bop jéimert a keimt vu moies bis owes 	wéinst deem waarme Wieder huet dëst Joer alles éischter gekeimt 	different	falsch	"Ass d'Bedeitung vun 'keimen' an deenen zwee Sätz identesch? saz1: ""eise Bop jéimert a keimt vu moies bis owes "" saz2: ""wéinst deem waarme Wieder huet dëst Joer alles éischter gekeimt """
speckeg	ech hu meng speckeg Äerm net gär 	de Col vun denger Liederjackett ass ganz speckeg 	different	falsch	"Ass d'Bedeitung vun 'speckeg' an deenen zwee Sätz identesch? saz1: ""ech hu meng speckeg Äerm net gär "" saz2: ""de Col vun denger Liederjackett ass ganz speckeg """
kompromettéieren	esou penibel Fotoen ewéi déi heite kënnen deng spéider Karriär kompromettéieren 	mat denge Bemierkungen hues de deng Partnerin virun alle Leit kompromettéiert 	different	falsch	"Ass d'Bedeitung vun 'kompromettéieren' an deenen zwee Sätz identesch? saz1: ""esou penibel Fotoen ewéi déi heite kënnen deng spéider Karriär kompromettéieren "" saz2: ""mat denge Bemierkungen hues de deng Partnerin virun alle Leit kompromettéiert """
